session_id,user_id,point_id,kwh_delivered,duration_min,status,anomaly_flag,kwh_por_min,z_kwh_delivered,z_duration_min,z_kwh_por_min,z_max_abs,anomaly_predicted
S000001,U0001,P002,23.412,152,concluida,False,0.15402631578947368,0.5497833174832865,0.778741758526435,-0.17950253385446863,0.778741758526435,False
S000002,U0001,P002,24.589,158,concluida,False,0.155626582278481,0.6523977686913922,0.8780784984387077,-0.14914102452804007,0.8780784984387077,False
S000003,U0001,P002,27.896,186,concluida,False,0.14997849462365592,0.9407121188572427,1.3416499513626465,-0.25630096769152705,1.3416499513626465,False
S000004,U0001,P002,5.632,36,concluida,False,0.15644444444444444,-1.0003313320325342,-1.141768546444169,-0.13362390287973538,1.141768546444169,False
S000005,U0001,P002,40.168,243,concluida,False,0.16530041152263375,2.0106225226175436,2.2853489805292364,0.034398441452289534,2.2853489805292364,False
S000006,U0001,P002,11.051,80,concluida,False,0.1381375,-0.5278863778297089,-0.4132991204208364,-0.48095759280359285,0.5278863778297089,False
S000007,U0001,P002,39.071,246,concluida,False,0.1588252032520325,1.9149827155017471,2.335017350485373,-0.08845428192154063,2.335017350485373,False
S000008,U0001,P002,2.843,19,concluida,False,0.14963157894736842,-1.2434848617006795,-1.4232226428622747,-0.2628829236428893,1.4232226428622747,False
S000009,U0001,P002,5.902,36,concluida,False,0.16394444444444445,-0.9767919082209889,-1.141768546444169,0.008671971908887017,1.141768546444169,False
S000010,U0001,P002,15.8,96,concluida,False,0.16458333333333333,-0.113854067899977,-0.14840114732144272,0.02079347235384362,0.14840114732144272,False
S000011,U0001,P002,43.675,302,concluida,False,0.14461920529801323,2.316373483014168,3.262160256333251,-0.3579816027365475,3.262160256333251,True
S000012,U0001,P002,21.302,135,concluida,False,0.1577925925925926,0.36582707954861937,0.4972876621083293,-0.1080457802016817,0.4972876621083293,False
S000013,U0001,P002,13.795,100,concluida,False,0.13795,-0.28865608546348775,-0.08217665404659431,-0.4845149896733085,0.4845149896733085,False
S000014,U0001,P002,20.253,138,concluida,False,0.1467608695652174,0.2743720588882091,0.5469560320644656,-0.3173482706825008,0.5469560320644656,False
S000015,U0001,P002,13.601,97,concluida,False,0.14021649484536083,-0.3055695973873386,-0.13184502400273063,-0.4415132741100386,0.4415132741100386,False
S000016,U0001,P002,11.716,68,concluida,False,0.17229411764705882,-0.46990964881238495,-0.6119726002453816,0.16708851225090426,0.6119726002453816,False
S000017,U0001,P002,17.482,105,concluida,False,0.16649523809523809,0.03278782414083335,0.0006039625469662014,0.05706762710154622,0.05706762710154622,False
S000018,U0001,P002,25.294,159,concluida,False,0.15908176100628932,0.7138618197548712,0.8946346217574197,-0.08358666724477026,0.8946346217574197,False
S000019,U0001,P002,28.651,203,concluida,False,0.14113793103448274,1.006535322478415,1.6231040477807523,-0.4240310649643057,1.6231040477807523,False
