user_id,n_sessoes_total,hora_media_inicio,kwh_medio_sessao,duracao_media_min,pct_fim_semana,cluster
U0001,56,13.928571428571429,19.110285714285713,122.60714285714286,0.23214285714285715,2
U0002,72,16.26388888888889,32.14498611111111,92.58333333333333,0.3055555555555556,0
U0003,46,13.804347826086957,31.687760869565217,100.6304347826087,0.21739130434782608,2
U0004,72,15.958333333333334,16.73322222222222,105.27777777777777,0.3055555555555556,1
U0005,40,14.875,18.52065,111.525,0.325,1
U0006,73,15.164383561643836,14.249095890410958,90.16438356164383,0.273972602739726,1
U0007,36,14.0,28.894333333333332,86.83333333333333,0.3333333333333333,0
U0008,66,14.545454545454545,40.70289393939394,119.16666666666667,0.2878787878787879,3
U0009,85,15.964705882352941,17.076729411764706,108.29411764705883,0.3176470588235294,1
U0010,51,16.07843137254902,33.34670588235294,106.2156862745098,0.2549019607843137,3
U0011,60,14.616666666666667,30.168766666666667,97.91666666666667,0.21666666666666667,0
U0012,14,13.071428571428571,34.13314285714286,107.0,0.2857142857142857,2
U0013,73,14.342465753424657,11.906616438356163,110.91780821917808,0.3013698630136986,1
U0014,66,16.166666666666668,34.950242424242425,106.07575757575758,0.2878787878787879,3
U0015,54,14.11111111111111,41.12181481481481,114.81481481481481,0.2222222222222222,3
U0016,37,16.16216216216216,32.141999999999996,86.51351351351352,0.1891891891891892,0
U0017,81,14.82716049382716,31.11749382716049,90.95061728395062,0.32098765432098764,0
U0018,32,16.09375,11.02534375,103.46875,0.21875,1
U0019,74,14.756756756756756,37.5592972972973,110.82432432432432,0.4189189189189189,3
U0020,69,15.420289855072463,32.981521739130436,103.89855072463769,0.2898550724637681,3
U0021,25,15.16,21.90768,113.24,0.32,2
U0022,86,15.151162790697674,10.52239534883721,96.95348837209302,0.3023255813953488,1
U0023,70,16.214285714285715,36.83547142857143,105.72857142857143,0.2571428571428571,3
U0024,82,14.792682926829269,31.26489024390244,95.8170731707317,0.2804878048780488,3
U0025,57,15.771929824561404,30.63363157894737,99.98245614035088,0.17543859649122806,0
U0026,106,14.867924528301886,34.37258490566038,102.27358490566037,0.3018867924528302,3
U0027,40,14.975,10.412675,94.275,0.275,1
U0028,94,14.5,32.46668085106383,99.34042553191489,0.3404255319148936,3
U0029,62,14.193548387096774,31.125129032258066,93.5,0.1935483870967742,0
U0030,40,14.875,11.061175,101.75,0.425,1
U0031,20,14.6,19.60565,113.8,0.15,2
U0032,78,15.576923076923077,30.00025641025641,94.88461538461539,0.2564102564102564,0
U0033,41,13.951219512195122,17.64770731707317,104.8048780487805,0.3902439024390244,1
U0034,62,15.258064516129032,32.816806451612905,103.03225806451613,0.3548387096774194,3
U0035,19,13.368421052631579,10.902052631578949,102.0,0.2631578947368421,2
U0036,20,16.45,35.64945,95.9,0.05,0
U0037,49,13.26530612244898,28.482326530612244,91.28571428571429,0.20408163265306123,2
U0038,50,15.2,12.03666,103.38,0.36,1
U0039,105,15.447619047619048,31.138342857142856,98.80952380952381,0.3333333333333333,3
U0040,84,13.785714285714286,38.59103571428572,105.78571428571429,0.30952380952380953,3
U0041,86,16.13953488372093,18.99320930232558,105.55813953488372,0.32558139534883723,1
U0042,31,16.516129032258064,27.00564516129032,89.29032258064517,0.25806451612903225,0
U0043,22,15.272727272727273,10.097272727272728,98.5909090909091,0.2727272727272727,1
U0044,42,15.666666666666666,43.539976190476196,115.5,0.2857142857142857,3
U0045,130,14.0,36.64826923076923,108.95384615384616,0.23076923076923078,3
U0046,68,15.470588235294118,30.207455882352942,97.75,0.25,0
U0047,55,16.072727272727274,17.916654545454545,106.92727272727272,0.32727272727272727,1
U0048,81,16.061728395061728,17.0487037037037,108.32098765432099,0.2345679012345679,1
U0049,83,15.46987951807229,15.413469879518072,96.0,0.27710843373493976,1
U0050,45,15.844444444444445,34.8372,110.95555555555555,0.26666666666666666,3
U0051,85,14.811764705882354,11.505317647058824,106.25882352941177,0.23529411764705882,1
U0052,71,15.816901408450704,32.564619718309864,92.77464788732394,0.3380281690140845,0
U0053,55,14.527272727272727,33.98958181818182,98.32727272727273,0.23636363636363636,0
U0054,51,14.07843137254902,16.493450980392158,105.15686274509804,0.21568627450980393,2
U0055,24,16.541666666666668,30.226666666666663,97.29166666666667,0.2916666666666667,0
U0056,85,15.48235294117647,15.729576470588235,98.30588235294118,0.32941176470588235,1
U0057,48,15.708333333333334,34.40077083333333,102.89583333333333,0.22916666666666666,0
U0058,61,15.081967213114755,31.451311475409835,99.98360655737704,0.3114754098360656,3
U0059,58,14.362068965517242,15.00603448275862,95.84482758620689,0.25862068965517243,1
U0060,44,15.340909090909092,17.237363636363636,101.27272727272727,0.36363636363636365,1
U0061,28,15.571428571428571,14.912035714285713,92.42857142857143,0.32142857142857145,1
U0062,36,15.194444444444445,12.05336111111111,93.25,0.3333333333333333,1
U0063,43,16.906976744186046,10.450302325581395,89.6046511627907,0.2558139534883721,1
U0064,41,15.170731707317072,34.15119512195122,110.07317073170732,0.34146341463414637,3
U0065,22,16.727272727272727,28.72009090909091,86.77272727272727,0.22727272727272727,0
U0066,57,17.12280701754386,18.228754385964912,108.56140350877193,0.3508771929824561,1
U0067,63,15.761904761904763,15.912984126984128,92.73015873015873,0.2857142857142857,1
U0068,35,13.17142857142857,30.185571428571432,97.51428571428572,0.2857142857142857,2
U0069,65,14.892307692307693,35.28129230769231,111.52307692307693,0.3230769230769231,3
U0070,54,14.277777777777779,39.66535185185185,109.5,0.3333333333333333,3
U0071,77,13.948051948051948,35.11089610389611,105.0,0.24675324675324675,3
U0072,36,15.305555555555555,11.476694444444444,108.72222222222223,0.3888888888888889,1
U0073,37,16.7027027027027,16.067783783783785,95.86486486486487,0.21621621621621623,0
U0074,24,13.208333333333334,17.099791666666665,109.04166666666667,0.2916666666666667,2
U0075,10,16.0,14.957400000000002,143.7,0.2,2
U0076,10,11.6,35.9049,117.3,0.1,2
U0077,72,14.722222222222221,15.571972222222222,97.84722222222223,0.2638888888888889,1
U0078,59,15.745762711864407,18.258135593220338,106.50847457627118,0.4406779661016949,1
U0079,71,16.3943661971831,34.66964788732395,111.30985915492958,0.29577464788732394,3
U0080,116,15.068965517241379,12.37425,112.42241379310344,0.28448275862068967,1
U0081,63,15.34920634920635,31.662317460317457,100.66666666666667,0.1746031746031746,0
U0082,96,15.322916666666666,15.979437500000001,103.29166666666667,0.23958333333333334,1
U0083,45,15.911111111111111,15.566755555555556,97.31111111111112,0.28888888888888886,1
U0084,41,15.585365853658537,16.55178048780488,101.60975609756098,0.21951219512195122,1
U0085,87,15.540229885057471,34.53370114942528,106.88505747126437,0.26436781609195403,3
U0086,51,16.568627450980394,32.32437254901961,104.74509803921569,0.39215686274509803,3
U0087,44,14.340909090909092,15.601613636363636,95.0,0.25,1
U0088,60,15.233333333333333,17.857966666666666,108.7,0.16666666666666666,2
U0089,6,15.333333333333334,45.91216666666667,73.5,0.16666666666666666,0
U0090,36,14.25,13.374333333333333,116.55555555555556,0.1388888888888889,2
U0091,81,15.246913580246913,32.53111111111111,101.95061728395062,0.25925925925925924,3
U0092,58,16.051724137931036,33.19046551724138,95.51724137931035,0.29310344827586204,0
U0093,33,15.212121212121213,29.112303030303032,93.48484848484848,0.36363636363636365,0
U0094,45,14.28888888888889,32.74571111111111,96.97777777777777,0.28888888888888886,0
U0095,25,16.2,34.44168,108.6,0.36,3
U0096,67,15.582089552238806,29.95755223880597,95.73134328358209,0.2835820895522388,0
